cur pt: 0, code[pointer]: 3
cur pt: 2, code[pointer]: 1
cur pt: 6, code[pointer]: 1105
cur pt: 238, code[pointer]: 1105
cur pt: 241, code[pointer]: 1105
cur pt: 247, code[pointer]: 1005
cur pt: 250, code[pointer]: 1005
cur pt: 256, code[pointer]: 1106
cur pt: 259, code[pointer]: 1106
cur pt: 265, code[pointer]: 1006
cur pt: 268, code[pointer]: 1006
cur pt: 274, code[pointer]: 1105
cur pt: 280, code[pointer]: 1
cur pt: 284, code[pointer]: 1101
cur pt: 288, code[pointer]: 105
cur pt: 294, code[pointer]: 1106
cur pt: 300, code[pointer]: 1
cur pt: 304, code[pointer]: 1101
cur pt: 308, code[pointer]: 106
cur pt: 314, code[pointer]: 1107
cur pt: 318, code[pointer]: 102
cur pt: 322, code[pointer]: 1006
cur pt: 325, code[pointer]: 101
cur pt: 329, code[pointer]: 1108
cur pt: 333, code[pointer]: 1002
cur pt: 337, code[pointer]: 1005
cur pt: 340, code[pointer]: 101
cur pt: 344, code[pointer]: 8
cur pt: 348, code[pointer]: 102
cur pt: 352, code[pointer]: 1006
cur pt: 359, code[pointer]: 1007
cur pt: 363, code[pointer]: 1002
cur pt: 367, code[pointer]: 1005
cur pt: 370, code[pointer]: 101
cur pt: 374, code[pointer]: 1008
cur pt: 378, code[pointer]: 1002
cur pt: 382, code[pointer]: 1005
cur pt: 385, code[pointer]: 1001
cur pt: 389, code[pointer]: 1108
cur pt: 393, code[pointer]: 1002
cur pt: 397, code[pointer]: 1006
cur pt: 404, code[pointer]: 1007
cur pt: 408, code[pointer]: 1002
cur pt: 412, code[pointer]: 1005
cur pt: 415, code[pointer]: 1001
cur pt: 419, code[pointer]: 1107
cur pt: 423, code[pointer]: 1002
cur pt: 427, code[pointer]: 1006
cur pt: 434, code[pointer]: 108
cur pt: 438, code[pointer]: 1002
cur pt: 442, code[pointer]: 1005
cur pt: 445, code[pointer]: 1001
cur pt: 449, code[pointer]: 1107
cur pt: 453, code[pointer]: 102
cur pt: 457, code[pointer]: 1005
cur pt: 460, code[pointer]: 1001
cur pt: 464, code[pointer]: 108
cur pt: 468, code[pointer]: 1002
cur pt: 472, code[pointer]: 1006
cur pt: 479, code[pointer]: 1008
cur pt: 483, code[pointer]: 102
cur pt: 487, code[pointer]: 1005
cur pt: 490, code[pointer]: 101
cur pt: 494, code[pointer]: 108
cur pt: 498, code[pointer]: 102
cur pt: 502, code[pointer]: 1005
cur pt: 509, code[pointer]: 8
cur pt: 513, code[pointer]: 1002
cur pt: 517, code[pointer]: 1006
cur pt: 524, code[pointer]: 7
cur pt: 528, code[pointer]: 1002
cur pt: 532, code[pointer]: 1006
cur pt: 539, code[pointer]: 7
cur pt: 543, code[pointer]: 102
cur pt: 547, code[pointer]: 1006
cur pt: 550, code[pointer]: 1001
cur pt: 554, code[pointer]: 7
cur pt: 558, code[pointer]: 1002
cur pt: 562, code[pointer]: 1006
cur pt: 569, code[pointer]: 107
cur pt: 573, code[pointer]: 102
cur pt: 577, code[pointer]: 1006
cur pt: 584, code[pointer]: 1108
cur pt: 588, code[pointer]: 102
cur pt: 592, code[pointer]: 1006
cur pt: 595, code[pointer]: 1001
cur pt: 599, code[pointer]: 1008
cur pt: 603, code[pointer]: 1002
cur pt: 607, code[pointer]: 1005
cur pt: 614, code[pointer]: 8
cur pt: 618, code[pointer]: 1002
cur pt: 622, code[pointer]: 1006
cur pt: 625, code[pointer]: 1001
cur pt: 629, code[pointer]: 107
cur pt: 633, code[pointer]: 1002
cur pt: 637, code[pointer]: 1006
cur pt: 644, code[pointer]: 1007
cur pt: 648, code[pointer]: 102
cur pt: 652, code[pointer]: 1006
cur pt: 655, code[pointer]: 101
cur pt: 659, code[pointer]: 107
cur pt: 663, code[pointer]: 1002
cur pt: 667, code[pointer]: 1006
cur pt: 670, code[pointer]: 1001
cur pt: 674, code[pointer]: 4
cur pt: 676, code[pointer]: 99
