cur pt: 0, code[pointer]: 1
cur pt: 4, code[pointer]: 1
cur pt: 8, code[pointer]: 1
cur pt: 12, code[pointer]: 1
cur pt: 16, code[pointer]: 2
cur pt: 20, code[pointer]: 1
cur pt: 24, code[pointer]: 1
cur pt: 28, code[pointer]: 2
cur pt: 32, code[pointer]: 1
cur pt: 36, code[pointer]: 2
cur pt: 40, code[pointer]: 1
cur pt: 44, code[pointer]: 2
cur pt: 48, code[pointer]: 1
cur pt: 52, code[pointer]: 1
cur pt: 56, code[pointer]: 1
cur pt: 60, code[pointer]: 2
cur pt: 64, code[pointer]: 1
cur pt: 68, code[pointer]: 2
cur pt: 72, code[pointer]: 1
cur pt: 76, code[pointer]: 2
cur pt: 80, code[pointer]: 1
cur pt: 84, code[pointer]: 1
cur pt: 88, code[pointer]: 2
cur pt: 92, code[pointer]: 1
cur pt: 96, code[pointer]: 2
cur pt: 100, code[pointer]: 1
cur pt: 104, code[pointer]: 2
cur pt: 108, code[pointer]: 2
cur pt: 112, code[pointer]: 1
cur pt: 116, code[pointer]: 1
cur pt: 120, code[pointer]: 2
cur pt: 124, code[pointer]: 1
cur pt: 128, code[pointer]: 1
cur pt: 132, code[pointer]: 1
cur pt: 136, code[pointer]: 1
cur pt: 140, code[pointer]: 99
