cur pt: 0, code[pointer]: 1102, relative_base: 0
cur pt: 4, code[pointer]: 1007, relative_base: 0
cur pt: 8, code[pointer]: 1005, relative_base: 0
cur pt: 11, code[pointer]: 1101, relative_base: 0
cur pt: 15, code[pointer]: 109, relative_base: 0
cur pt: 17, code[pointer]: 209, relative_base: 988
cur pt: 19, code[pointer]: 9, relative_base: 991
cur pt: 21, code[pointer]: 209, relative_base: 994
cur pt: 23, code[pointer]: 209, relative_base: 997
cur pt: 25, code[pointer]: 203, relative_base: 1000
cur pt: 27, code[pointer]: 1008, relative_base: 1000
cur pt: 31, code[pointer]: 1005, relative_base: 1000
cur pt: 65, code[pointer]: 1101, relative_base: 1000
cur pt: 69, code[pointer]: 1102, relative_base: 1000
cur pt: 73, code[pointer]: 1102, relative_base: 1000
cur pt: 77, code[pointer]: 1101, relative_base: 1000
cur pt: 81, code[pointer]: 1101, relative_base: 1000
cur pt: 85, code[pointer]: 1102, relative_base: 1000
cur pt: 89, code[pointer]: 1101, relative_base: 1000
cur pt: 93, code[pointer]: 1101, relative_base: 1000
cur pt: 97, code[pointer]: 1101, relative_base: 1000
cur pt: 101, code[pointer]: 1101, relative_base: 1000
cur pt: 105, code[pointer]: 1102, relative_base: 1000
cur pt: 109, code[pointer]: 1101, relative_base: 1000
cur pt: 113, code[pointer]: 1102, relative_base: 1000
cur pt: 117, code[pointer]: 1101, relative_base: 1000
cur pt: 121, code[pointer]: 1102, relative_base: 1000
cur pt: 125, code[pointer]: 1101, relative_base: 1000
cur pt: 129, code[pointer]: 1102, relative_base: 1000
cur pt: 133, code[pointer]: 1102, relative_base: 1000
cur pt: 137, code[pointer]: 1102, relative_base: 1000
cur pt: 141, code[pointer]: 1102, relative_base: 1000
cur pt: 145, code[pointer]: 1101, relative_base: 1000
cur pt: 149, code[pointer]: 1101, relative_base: 1000
cur pt: 153, code[pointer]: 1101, relative_base: 1000
cur pt: 157, code[pointer]: 1101, relative_base: 1000
cur pt: 161, code[pointer]: 1102, relative_base: 1000
cur pt: 165, code[pointer]: 1101, relative_base: 1000
cur pt: 169, code[pointer]: 1101, relative_base: 1000
cur pt: 173, code[pointer]: 1101, relative_base: 1000
cur pt: 177, code[pointer]: 1102, relative_base: 1000
cur pt: 181, code[pointer]: 1102, relative_base: 1000
cur pt: 185, code[pointer]: 109, relative_base: 1000
cur pt: 187, code[pointer]: 2102, relative_base: 1005
cur pt: 191, code[pointer]: 1008, relative_base: 1005
cur pt: 195, code[pointer]: 1005, relative_base: 1005
cur pt: 198, code[pointer]: 1001, relative_base: 1005
cur pt: 202, code[pointer]: 1105, relative_base: 1005
cur pt: 207, code[pointer]: 1002, relative_base: 1005
cur pt: 211, code[pointer]: 109, relative_base: 1005
cur pt: 213, code[pointer]: 21102, relative_base: 1013
cur pt: 217, code[pointer]: 1008, relative_base: 1013
cur pt: 221, code[pointer]: 1005, relative_base: 1013
cur pt: 224, code[pointer]: 1105, relative_base: 1013
cur pt: 233, code[pointer]: 1002, relative_base: 1013
cur pt: 237, code[pointer]: 109, relative_base: 1013
cur pt: 239, code[pointer]: 2105, relative_base: 1020
cur pt: 242, code[pointer]: 1001, relative_base: 1020
cur pt: 246, code[pointer]: 1106, relative_base: 1020
cur pt: 251, code[pointer]: 1002, relative_base: 1020
cur pt: 255, code[pointer]: 109, relative_base: 1020
cur pt: 257, code[pointer]: 1201, relative_base: 1013
cur pt: 261, code[pointer]: 1008, relative_base: 1013
cur pt: 265, code[pointer]: 1005, relative_base: 1013
cur pt: 268, code[pointer]: 1106, relative_base: 1013
cur pt: 277, code[pointer]: 1002, relative_base: 1013
cur pt: 281, code[pointer]: 109, relative_base: 1013
cur pt: 283, code[pointer]: 1208, relative_base: 1003
cur pt: 287, code[pointer]: 1005, relative_base: 1003
cur pt: 295, code[pointer]: 1001, relative_base: 1003
cur pt: 299, code[pointer]: 1002, relative_base: 1003
cur pt: 303, code[pointer]: 109, relative_base: 1003
cur pt: 305, code[pointer]: 1207, relative_base: 997
cur pt: 309, code[pointer]: 1005, relative_base: 997
cur pt: 312, code[pointer]: 1001, relative_base: 997
cur pt: 316, code[pointer]: 1105, relative_base: 997
cur pt: 321, code[pointer]: 1002, relative_base: 997
cur pt: 325, code[pointer]: 109, relative_base: 997
cur pt: 327, code[pointer]: 1207, relative_base: 1009
cur pt: 331, code[pointer]: 1005, relative_base: 1009
cur pt: 339, code[pointer]: 1001, relative_base: 1009
cur pt: 343, code[pointer]: 1002, relative_base: 1009
cur pt: 347, code[pointer]: 109, relative_base: 1009
cur pt: 349, code[pointer]: 1206, relative_base: 1015
cur pt: 352, code[pointer]: 1106, relative_base: 1015
cur pt: 361, code[pointer]: 1002, relative_base: 1015
cur pt: 365, code[pointer]: 109, relative_base: 1015
cur pt: 367, code[pointer]: 2106, relative_base: 1036
cur pt: 375, code[pointer]: 1001, relative_base: 1036
cur pt: 379, code[pointer]: 1002, relative_base: 1036
cur pt: 383, code[pointer]: 109, relative_base: 1036
cur pt: 385, code[pointer]: 1202, relative_base: 1007
cur pt: 389, code[pointer]: 1008, relative_base: 1007
cur pt: 393, code[pointer]: 1005, relative_base: 1007
cur pt: 396, code[pointer]: 1001, relative_base: 1007
cur pt: 400, code[pointer]: 1105, relative_base: 1007
cur pt: 405, code[pointer]: 1002, relative_base: 1007
cur pt: 409, code[pointer]: 109, relative_base: 1007
cur pt: 411, code[pointer]: 21107, relative_base: 1018
cur pt: 415, code[pointer]: 1005, relative_base: 1018
cur pt: 418, code[pointer]: 1105, relative_base: 1018
cur pt: 427, code[pointer]: 1002, relative_base: 1018
cur pt: 431, code[pointer]: 109, relative_base: 1018
cur pt: 433, code[pointer]: 2101, relative_base: 1007
cur pt: 437, code[pointer]: 1008, relative_base: 1007
cur pt: 441, code[pointer]: 1005, relative_base: 1007
cur pt: 453, code[pointer]: 1002, relative_base: 1007
cur pt: 457, code[pointer]: 109, relative_base: 1007
cur pt: 459, code[pointer]: 21108, relative_base: 1000
cur pt: 463, code[pointer]: 1005, relative_base: 1000
cur pt: 466, code[pointer]: 1105, relative_base: 1000
cur pt: 475, code[pointer]: 1002, relative_base: 1000
cur pt: 479, code[pointer]: 109, relative_base: 1000
cur pt: 481, code[pointer]: 1201, relative_base: 1001
cur pt: 485, code[pointer]: 1008, relative_base: 1001
cur pt: 489, code[pointer]: 1005, relative_base: 1001
cur pt: 497, code[pointer]: 1001, relative_base: 1001
cur pt: 501, code[pointer]: 1002, relative_base: 1001
cur pt: 505, code[pointer]: 109, relative_base: 1001
cur pt: 507, code[pointer]: 21107, relative_base: 1006
cur pt: 511, code[pointer]: 1005, relative_base: 1006
cur pt: 523, code[pointer]: 1002, relative_base: 1006
cur pt: 527, code[pointer]: 109, relative_base: 1006
cur pt: 529, code[pointer]: 21108, relative_base: 1026
cur pt: 533, code[pointer]: 1005, relative_base: 1026
cur pt: 541, code[pointer]: 1001, relative_base: 1026
cur pt: 545, code[pointer]: 1002, relative_base: 1026
cur pt: 549, code[pointer]: 109, relative_base: 1026
cur pt: 551, code[pointer]: 1205, relative_base: 1028
cur pt: 554, code[pointer]: 1001, relative_base: 1028
cur pt: 558, code[pointer]: 1106, relative_base: 1028
cur pt: 563, code[pointer]: 1002, relative_base: 1028
cur pt: 567, code[pointer]: 109, relative_base: 1028
cur pt: 569, code[pointer]: 2108, relative_base: 1005
cur pt: 573, code[pointer]: 1005, relative_base: 1005
cur pt: 576, code[pointer]: 1001, relative_base: 1005
cur pt: 580, code[pointer]: 1105, relative_base: 1005
cur pt: 585, code[pointer]: 1002, relative_base: 1005
cur pt: 589, code[pointer]: 109, relative_base: 1005
cur pt: 591, code[pointer]: 2107, relative_base: 999
cur pt: 595, code[pointer]: 1005, relative_base: 999
cur pt: 598, code[pointer]: 1001, relative_base: 999
cur pt: 602, code[pointer]: 1105, relative_base: 999
cur pt: 607, code[pointer]: 1002, relative_base: 999
