cur pt: 0, code[pointer]: 3, relative_base: 0
cur pt: 2, code[pointer]: 1005, relative_base: 0
cur pt: 324, code[pointer]: 109, relative_base: 0
cur pt: 326, code[pointer]: 104, relative_base: 646
cur pt: 328, code[pointer]: 104, relative_base: 646
cur pt: 330, code[pointer]: 21101, relative_base: 646
cur pt: 334, code[pointer]: 21101, relative_base: 646
cur pt: 338, code[pointer]: 1105, relative_base: 646
cur pt: 445, code[pointer]: 109, relative_base: 646
cur pt: 447, code[pointer]: 22101, relative_base: 648
cur pt: 451, code[pointer]: 21102, relative_base: 648
cur pt: 455, code[pointer]: 21102, relative_base: 648
cur pt: 459, code[pointer]: 21101, relative_base: 648
cur pt: 463, code[pointer]: 1106, relative_base: 648
cur pt: 509, code[pointer]: 109, relative_base: 648
cur pt: 511, code[pointer]: 1202, relative_base: 652
cur pt: 515, code[pointer]: 1207, relative_base: 652
cur pt: 519, code[pointer]: 1006, relative_base: 652
cur pt: 526, code[pointer]: 22101, relative_base: 652
cur pt: 530, code[pointer]: 22102, relative_base: 652
cur pt: 534, code[pointer]: 21102, relative_base: 652
cur pt: 538, code[pointer]: 21101, relative_base: 652
cur pt: 542, code[pointer]: 1106, relative_base: 652
cur pt: 550, code[pointer]: 109, relative_base: 652
cur pt: 552, code[pointer]: 1207, relative_base: 657
cur pt: 556, code[pointer]: 1006, relative_base: 657
cur pt: 573, code[pointer]: 21201, relative_base: 657
cur pt: 577, code[pointer]: 21201, relative_base: 657
cur pt: 581, code[pointer]: 21202, relative_base: 657
cur pt: 585, code[pointer]: 21102, relative_base: 657
cur pt: 589, code[pointer]: 1106, relative_base: 657
cur pt: 550, code[pointer]: 109, relative_base: 657
cur pt: 552, code[pointer]: 1207, relative_base: 662
cur pt: 556, code[pointer]: 1006, relative_base: 662
cur pt: 573, code[pointer]: 21201, relative_base: 662
cur pt: 577, code[pointer]: 21201, relative_base: 662
cur pt: 581, code[pointer]: 21202, relative_base: 662
cur pt: 585, code[pointer]: 21102, relative_base: 662
cur pt: 589, code[pointer]: 1106, relative_base: 662
cur pt: 550, code[pointer]: 109, relative_base: 662
cur pt: 552, code[pointer]: 1207, relative_base: 667
cur pt: 556, code[pointer]: 1006, relative_base: 667
cur pt: 573, code[pointer]: 21201, relative_base: 667
cur pt: 577, code[pointer]: 21201, relative_base: 667
cur pt: 581, code[pointer]: 21202, relative_base: 667
cur pt: 585, code[pointer]: 21102, relative_base: 667
cur pt: 589, code[pointer]: 1106, relative_base: 667
cur pt: 550, code[pointer]: 109, relative_base: 667
cur pt: 552, code[pointer]: 1207, relative_base: 672
cur pt: 556, code[pointer]: 1006, relative_base: 672
cur pt: 573, code[pointer]: 21201, relative_base: 672
cur pt: 577, code[pointer]: 21201, relative_base: 672
cur pt: 581, code[pointer]: 21202, relative_base: 672
cur pt: 585, code[pointer]: 21102, relative_base: 672
cur pt: 589, code[pointer]: 1106, relative_base: 672
cur pt: 550, code[pointer]: 109, relative_base: 672
cur pt: 552, code[pointer]: 1207, relative_base: 677
cur pt: 556, code[pointer]: 1006, relative_base: 677
cur pt: 573, code[pointer]: 21201, relative_base: 677
cur pt: 577, code[pointer]: 21201, relative_base: 677
cur pt: 581, code[pointer]: 21202, relative_base: 677
cur pt: 585, code[pointer]: 21102, relative_base: 677
cur pt: 589, code[pointer]: 1106, relative_base: 677
cur pt: 550, code[pointer]: 109, relative_base: 677
cur pt: 552, code[pointer]: 1207, relative_base: 682
cur pt: 556, code[pointer]: 1006, relative_base: 682
cur pt: 573, code[pointer]: 21201, relative_base: 682
cur pt: 577, code[pointer]: 21201, relative_base: 682
cur pt: 581, code[pointer]: 21202, relative_base: 682
cur pt: 585, code[pointer]: 21102, relative_base: 682
cur pt: 589, code[pointer]: 1106, relative_base: 682
cur pt: 550, code[pointer]: 109, relative_base: 682
cur pt: 552, code[pointer]: 1207, relative_base: 687
