cur pt: 0, code[pointer]: 109, relative_base: 0
cur pt: 2, code[pointer]: 21102, relative_base: 2050
cur pt: 6, code[pointer]: 21102, relative_base: 2050
cur pt: 10, code[pointer]: 1106, relative_base: 2050
cur pt: 1378, code[pointer]: 109, relative_base: 2050
cur pt: 1380, code[pointer]: 1202, relative_base: 2055
cur pt: 1384, code[pointer]: 20101, relative_base: 2055
cur pt: 1388, code[pointer]: 22101, relative_base: 2055
cur pt: 1392, code[pointer]: 21101, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
cur pt: 1400, code[pointer]: 1205, relative_base: 2055
cur pt: 1403, code[pointer]: 2201, relative_base: 2055
cur pt: 1407, code[pointer]: 4, relative_base: 2055
cur pt: 1409, code[pointer]: 21201, relative_base: 2055
cur pt: 1413, code[pointer]: 1106, relative_base: 2055
cur pt: 1396, code[pointer]: 22208, relative_base: 2055
